minutes,gross,budget,year,rating,score
94,13008928.00,4000000.00,1988,7.3,7.3
107,111936400.00,15000000.00,1988,6.1,6.0
107,44726644.00,13000000.00,1988,6.9,6.8
145,54222000.00,69500000.00,1989,7.6,7.6
108,118500000.00,40000000.00,1989,7.8,7.8
126,251188924.00,35000000.00,1989,7.5,7.6
90,40485039.00,10000000.00,1989,6.9,6.9
125,45645204.00,30000000.00,1989,6.7,6.6
145,70001698.00,14000000.00,1989,7.2,7.2
128,95860116.00,16400000.00,1989,8.1,8.0
120,27545445.00,6500000.00,1989,7.9,7.9
99,106593296.00,7500000.00,1989,7.4,7.4
100,14343976.00,5000000.00,1989,4.6,4.5
122,26830000.00,18000000.00,1989,7.8,7.9
122,26830000.00,18000000.00,1989,7.8,7.9
96,11642254.00,3000000.00,1989,5.2,5.2
137,10161099.00,9000000.00,1989,7.5,7.7
127,197171806.00,48000000.00,1989,8.2,8.3
133,34667015.00,32000000.00,1989,6.6,6.6
107,49797148.00,11000000.00,1989,7.2,7.2
124,10763469.00,15000000.00,1989,6.4,6.4
89,22168359.00,8000000.00,1989,5.1,5.1
103,57469179.00,11500000.00,1989,6.6,6.6
114,30050028.00,17000000.00,1989,6.6,6.5
91,6706368.00,160000.00,1989,7.4,7.5
113,58571513.00,19000000.00,1989,6.8,6.8
107,55210049.00,27800000.00,1989,5.5,5.4
104,63408614.00,55000000.00,1989,6.4,6.3
102,792966.00,2300000.00,1989,5.1,5.1
105,8508843.00,18000000.00,1989,5.7,5.5
97,6157157.00,5000000.00,1989,7.0,7.0
103,9094451.00,7000000.00,1989,6.2,6.2
106,10555348.00,20000000.00,1989,6.1,6.0
95,92823600.00,16000000.00,1989,7.6,7.6
100,24741700.00,1200000.00,1989,7.2,7.2
104,21413502.00,40000000.00,1990,6.5,6.3
109,53133888.00,31000000.00,1990,6.4,6.3
118,87666629.00,40000000.00,1990,7.4,7.4
84,28501605.00,13000000.00,1990,5.8,5.7
181,184208848.00,22000000.00,1990,8.0,8.0
107,82670733.00,60000000.00,1990,6.0,5.9
105,103738726.00,100000000.00,1990,6.1,6.1
124,117541000.00,70000000.00,1990,7.2,7.1
105,56362352.00,20000000.00,1990,7.9,7.9
115,61490000.00,26000000.00,1990,6.6,6.6
115,14587732.00,35000000.00,1991,5.8,5.7
127,217631306.00,22000000.00,1990,7.0,7.0
162,66676062.00,54000000.00,1990,7.6,7.6
146,46836394.00,25000000.00,1990,8.7,8.7
106,41482207.00,50000000.00,1990,6.4,6.3
103,285761243.00,18000000.00,1990,7.6,7.5
135,122012643.00,30000000.00,1990,7.6,7.6
111,91457688.00,26000000.00,1990,6.1,6.0
98,2938208.00,225000.00,1990,7.4,7.5
129,16153600.00,10000000.00,1990,6.6,6.5
108,30669413.00,35000000.00,1990,6.3,6.2
119,178406268.00,14000000.00,1990,7.0,6.9
100,15369573.00,3000000.00,1990,5.3,5.3
113,119412921.00,65000000.00,1990,7.5,7.5
96,16667084.00,11000000.00,1990,7.1,7.1
120,349618.00,9000000.00,1990,6.1,6.1
99,113502246.00,38000000.00,1991,6.9,6.8
107,869325.00,6000000.00,1991,4.0,3.8
93,38037513.00,20000000.00,1991,6.3,6.2
112,57504069.00,6000000.00,1991,7.7,7.8
128,79100000.00,35000000.00,1991,7.3,7.3
140,35183792.00,38000000.00,1991,7.2,7.2
110,30102717.00,15000000.00,1991,5.6,5.5
137,41895491.00,24000000.00,1991,7.5,7.6
89,34872293.00,8500000.00,1991,4.9,4.9
98,7434726.00,23000000.00,1991,6.2,6.0
142,119654900.00,70000000.00,1991,6.8,6.7
94,19281235.00,5000000.00,1991,5.3,5.1
100,17218080.00,70000000.00,1991,5.8,5.7
189,70405498.00,40000000.00,1991,8.0,8.0
103,1100000.00,5000000.00,1992,6.8,6.8
102,59847242.00,16500000.00,1991,6.9,6.8
104,6401336.00,2500000.00,1991,7.1,7.1
85,86930411.00,23000000.00,1991,6.9,6.8
132,74787599.00,30000000.00,1991,6.7,6.6
119,21413105.00,20000000.00,1990,6.9,6.8
102,2807854.00,11000000.00,1991,5.2,5.1
143,165500000.00,48000000.00,1991,6.9,6.9
79,2275557.00,8000000.00,1991,6.1,6.0
118,130727000.00,19000000.00,1991,8.6,8.6
97,1227508.00,23000.00,1991,7.1,7.1
110,74888996.00,30000000.00,1991,7.2,7.2
92,9286314.00,17000000.00,1991,6.0,5.9
91,2712293.00,450000.00,1991,5.8,5.9
88,78656813.00,25000000.00,1991,6.0,6.0
137,204843350.00,102000000.00,1991,8.5,8.5
107,34793160.00,14000000.00,1991,6.7,6.7
90,217350219.00,28000000.00,1992,8.0,8.0
114,55473600.00,50000000.00,1992,6.5,6.4
126,162831698.00,80000000.00,1992,7.0,7.0
129,121945720.00,25000000.00,1992,6.3,6.1
117,70100000.00,40000000.00,1992,5.5,5.4
128,82522790.00,40000000.00,1992,7.4,7.5
112,62549000.00,2300000.00,1992,7.2,7.3
104,58422650.00,55000000.00,1992,6.6,6.4
87,1200000.00,3000000.00,1993,5.3,5.1
138,141340178.00,40000000.00,1992,7.7,7.6
100,10725228.00,12500000.00,1992,7.7,7.8
140,24276500.00,35000000.00,1992,6.6,6.6
120,173585516.00,18000000.00,1992,6.7,6.6
112,72455275.00,40000000.00,1992,7.7,7.8
108,32101000.00,10000000.00,1992,5.4,5.4
128,107458785.00,40000000.00,1992,7.2,7.2
118,144731527.00,35000000.00,1992,6.7,6.7
202,48169908.00,33000000.00,1992,7.7,7.7
81,2040920.00,7000.00,1992,6.9,6.9
106,45500797.00,40000000.00,1992,6.0,6.0
99,14358033.00,40000000.00,1992,6.0,5.9
100,50752337.00,10000000.00,1992,6.5,6.4
85,27281507.00,12000000.00,1992,7.7,7.7
120,52929168.00,11000000.00,1992,7.6,7.5
117,83287363.00,45000000.00,1992,6.9,6.9
114,4651977.00,35000000.00,1992,7.0,6.9
92,21370057.00,12000000.00,1992,6.1,6.0
99,2812029.00,1200000.00,1992,8.3,8.4
90,5430822.00,7000000.00,1992,6.2,6.2
130,101157447.00,14400000.00,1992,8.2,8.3
94,121697350.00,20000000.00,1992,7.0,7.0
108,24103594.00,6500000.00,1993,6.2,6.2
139,32000000.00,30000000.00,1993,7.2,7.2
91,2850263.00,2600000.00,1993,6.3,6.2
120,36733909.00,32000000.00,1993,7.1,7.1
81,11501093.00,13000000.00,1992,7.5,7.6
180,4496583.00,35000000.00,1993,8.0,8.0
113,84049211.00,70000000.00,1993,6.4,6.4
98,68856263.00,15000000.00,1993,7.0,6.9
102,7993039.00,6900000.00,1993,7.6,7.7
154,158348400.00,42000000.00,1993,6.8,6.8
95,6739141.00,8000000.00,1992,5.9,5.9
130,183875760.00,44000000.00,1993,7.8,7.8
271,10769960.00,25000000.00,1993,7.7,7.7
101,70906973.00,14600000.00,1993,8.0,8.1
123,18272447.00,10000000.00,1993,5.9,5.9
96,39514713.00,28000000.00,1993,6.8,6.7
87,15935068.00,2500000.00,1993,4.3,4.3
127,356784000.00,63000000.00,1993,8.1,8.1
130,50016394.00,70000000.00,1993,6.4,6.2
134,48856.00,11900000.00,1993,7.3,7.5
97,27900000.00,3500000.00,1993,7.5,7.5
125,219200000.00,25000000.00,1993,7.0,6.9
111,22551000.00,8000000.00,1993,7.3,7.4
84,27979400.00,8200000.00,1993,6.2,6.1
94,22189039.00,15000000.00,1993,5.7,5.5
92,2119994.00,19000000.00,1993,5.8,5.7
99,3273588.00,6000000.00,1993,6.6,6.7
141,100768056.00,45000000.00,1993,6.6,6.5
125,77324422.00,26000000.00,1993,7.7,7.7
121,40158000.00,7000000.00,1993,7.6,7.6
109,27515786.00,14000000.00,1993,6.0,5.9
134,22954968.00,11500000.00,1993,7.8,7.9
104,10696210.00,23500000.00,1993,4.1,3.9
110,3275585.00,11500000.00,1993,6.6,6.6
114,1001437.00,800000.00,1993,7.0,7.2
195,96067179.00,22000000.00,1993,8.9,8.9
131,25842000.00,22000000.00,1993,7.3,7.4
104,20915465.00,42000000.00,1993,4.0,4.0
96,42660000.00,17000000.00,1993,4.8,4.8
99,125169.00,10500000.00,1994,6.5,6.4
130,56505065.00,25000000.00,1993,7.8,7.8
119,12281500.00,13000000.00,1993,7.9,8.0
107,700000.00,50000000.00,1993,7.0,7.0
98,3902679.00,3000000.00,1993,5.4,5.3
118,9170214.00,11000000.00,1993,7.8,7.8
93,11784000.00,20000000.00,1994,4.5,4.3
86,72217000.00,12000000.00,1994,6.9,6.9
99,16671505.00,50000000.00,1994,6.1,5.9
104,42610000.00,55000000.00,1994,5.6,5.5
98,13383737.00,20000000.00,1994,7.4,7.5
141,122012710.00,62000000.00,1994,6.9,6.9
92,3151130.00,230000.00,1994,7.7,7.8
119,92115211.00,45000000.00,1994,6.7,6.7
115,13640000.00,14000000.00,1994,7.0,6.9
102,50693162.00,23000000.00,1994,7.6,7.6
128,83000000.00,55000000.00,1994,6.1,6.0
107,127175354.00,16000000.00,1994,7.3,7.3
127,5887457.00,18000000.00,1994,7.8,7.9
103,5132222.00,2000000.00,1994,7.1,7.2
91,130512915.00,45000000.00,1994,4.9,4.8
142,329691196.00,55000000.00,1994,8.8,8.8
117,52700832.00,4500000.00,1994,7.0,7.1
99,3049135.00,5000000.00,1994,7.3,7.4
99,13829734.00,26000000.00,1994,4.5,4.3
170,7830611.00,700000.00,1994,8.3,8.3
111,2869369.00,30000000.00,1994,7.2,7.3
123,105264608.00,60000000.00,1994,7.6,7.6
96,418953.00,1500000.00,1993,6.5,6.5
133,66528842.00,30000000.00,1994,7.5,7.5
88,422783777.00,45000000.00,1994,8.5,8.5
115,50003300.00,15000000.00,1994,7.3,7.3
100,29392418.00,10000000.00,1994,6.0,5.8
